#class tools::histo::h1d
#title Energy deposit
#dimension 1
#axis fixed 2000 0 1.5
#annotation axis_x.title 
#bin_number 2002
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
9911621,9.91162e+06,9.91162e+06,0.0143028,6.99009e-06
36,36,36,0.04115,4.88368e-05
34,34,34,0.0643707,0.000123297
42,42,42,0.112074,0.000300552
51,51,51,0.172432,0.000585809
58,58,58,0.240447,0.000999536
44,44,44,0.216789,0.00106987
37,37,37,0.209291,0.00118548
30,30,30,0.192088,0.00123103
37,37,37,0.264443,0.00189162
52,52,52,0.406436,0.00317926
35,35,35,0.30266,0.00261857
39,39,39,0.366888,0.0034532
40,40,40,0.403364,0.00406923
28,28,28,0.304548,0.00331392
34,34,34,0.395933,0.00461196
43,43,43,0.534292,0.00664069
34,34,34,0.444994,0.00582559
45,45,45,0.622814,0.00862188
49,49,49,0.718497,0.0105378
51,51,51,0.784958,0.0120834
46,46,46,0.742652,0.0119921
38,38,38,0.642937,0.0108798
39,39,39,0.688835,0.0121678
45,45,45,0.828373,0.0152509
39,39,39,0.746031,0.0142724
33,33,33,0.65394,0.0129604
47,47,47,0.970674,0.0200489
53,53,53,1.13187,0.0241748
40,40,40,0.886522,0.0196498
38,38,38,0.869281,0.019887
51,51,51,1.20545,0.0284943
34,34,34,0.828234,0.0201773
49,49,49,1.23204,0.0309805
50,50,50,1.29378,0.0334796
44,44,44,1.16997,0.0311122
43,43,43,1.17746,0.0322435
40,40,40,1.12504,0.0316448
46,46,46,1.3266,0.0382598
51,51,51,1.51243,0.0448544
47,47,47,1.42538,0.0432301
40,40,40,1.24201,0.0385656
40,40,40,1.27667,0.0407485
41,41,41,1.33633,0.043558
38,38,38,1.26967,0.0424246
43,43,43,1.46613,0.0499917
40,40,40,1.39356,0.0485525
41,41,41,1.46017,0.0520038
29,29,29,1.05314,0.038246
40,40,40,1.48462,0.0551045
26,26,26,0.985408,0.0373487
40,40,40,1.54437,0.0596294
42,42,42,1.65278,0.0650418
43,43,43,1.72613,0.0692925
47,47,47,1.92074,0.0784972
45,45,45,1.87168,0.0778503
32,32,32,1.35634,0.0574911
47,47,47,2.02826,0.0875305
43,43,43,1.88694,0.0828056
40,40,40,1.7891,0.0800245
47,47,47,2.13557,0.0970369
43,43,43,1.97918,0.0910979
37,37,37,1.73575,0.0814301
45,45,45,2.14367,0.102121
38,38,38,1.83808,0.0889102
39,39,39,1.91781,0.0943099
43,43,43,2.14507,0.107009
47,47,47,2.37984,0.120504
44,44,44,2.2595,0.116033
36,36,36,1.87811,0.0979823
48,48,48,2.53644,0.134034
32,32,32,1.71499,0.0919132
51,51,51,2.77482,0.150975
31,31,31,1.70804,0.0941114
41,41,41,2.29083,0.128
34,34,34,1.92821,0.109354
45,45,45,2.5817,0.148117
30,30,30,1.744,0.101386
43,43,43,2.53185,0.149079
38,38,38,2.26611,0.135141
38,38,38,2.29436,0.13853
44,44,44,2.68927,0.16437
37,37,37,2.28908,0.141621
46,46,46,2.8801,0.180328
43,43,43,2.72561,0.172768
38,38,38,2.43655,0.156232
48,48,48,3.11007,0.201513
47,47,47,3.08363,0.202317
39,39,39,2.58884,0.17185
43,43,43,2.88629,0.193738
57,57,57,3.87,0.262754
39,39,39,2.67495,0.183473
47,47,47,3.26,0.226121
40,40,40,2.80567,0.196797
41,41,41,2.90526,0.20587
30,30,30,2.14847,0.153865
42,42,42,3.04005,0.220047
34,34,34,2.48679,0.181886
43,43,43,3.17693,0.23472
36,36,36,2.68695,0.200549
36,36,36,2.71439,0.204666
34,34,34,2.58641,0.196751
52,52,52,3.99799,0.307385
46,46,46,3.57228,0.27742
32,32,32,2.50679,0.196377
40,40,40,3.16433,0.250327
35,35,35,2.79428,0.223087
48,48,48,3.86755,0.311627
43,43,43,3.49914,0.284746
41,41,41,3.36719,0.276538
47,47,47,3.8961,0.322972
43,43,43,3.59581,0.300697
37,37,37,3.12138,0.263326
48,48,48,4.08274,0.347268
39,39,39,3.34687,0.287221
41,41,41,3.55169,0.307672
39,39,39,3.40969,0.298103
27,27,27,2.38078,0.209932
34,34,34,3.02068,0.268369
33,33,33,2.95817,0.265176
46,46,46,4.15527,0.375355
46,46,46,4.18882,0.381441
39,39,39,3.58446,0.329446
53,53,53,4.91066,0.454994
47,47,47,4.38899,0.409858
27,27,27,2.54151,0.239234
38,38,38,3.60493,0.34199
41,41,41,3.92041,0.37487
46,46,46,4.43308,0.427224
42,42,42,4.08024,0.396392
38,38,38,3.71974,0.36412
33,33,33,3.25505,0.321073
45,45,45,4.47285,0.444588
49,49,49,4.9045,0.490902
45,45,45,4.53921,0.457878
40,40,40,4.06502,0.413113
42,42,42,4.29988,0.440215
43,43,43,4.4345,0.457322
32,32,32,3.32377,0.345234
36,36,36,3.76584,0.393933
